elapsed_sec	epoch	label	pid	rss_kb	pcpu	pmem	fds
0	1784112198	workbench	667581	112452	28.7	0.1	19
0	1784112198	rviz	667863	188596	40.2	0.2	50
0	1784112198	sim	667881	68620	46.6	0.1	19
0	1784112198	rtabmap	667579	271064	27.9	0.4	20
0	1784112198	map_products	667573	136920	35.2	0.2	19
0	1784112198	mapping_manager	667575	64924	29.7	0.1	19
0	1784112198	safety	667592	23876	2.3	0.0	19
30	1784112228	workbench	667581	115672	29.4	0.1	19
30	1784112228	rviz	667863	194592	40.0	0.3	50
30	1784112228	sim	667881	68676	45.8	0.1	19
30	1784112228	rtabmap	667579	287552	28.5	0.4	20
30	1784112228	map_products	667573	159520	36.3	0.2	19
30	1784112228	mapping_manager	667575	64992	30.4	0.1	19
30	1784112228	safety	667592	24100	2.2	0.0	19
61	1784112259	workbench	667581	116728	29.8	0.1	19
61	1784112259	rviz	667863	197300	40.1	0.3	50
61	1784112259	sim	667881	68496	45.5	0.1	19
61	1784112259	rtabmap	667579	296960	28.9	0.4	20
61	1784112259	map_products	667573	173584	36.5	0.2	19
61	1784112259	mapping_manager	667575	64800	30.3	0.1	19
61	1784112259	safety	667592	23972	2.0	0.0	19
91	1784112289	workbench	667581	117844	30.7	0.1	19
91	1784112289	rviz	667863	198356	41.3	0.3	50
91	1784112289	sim	667881	68500	45.4	0.1	19
91	1784112289	rtabmap	667579	306084	29.5	0.4	20
91	1784112289	map_products	667573	190480	37.2	0.2	19
91	1784112289	mapping_manager	667575	64800	30.5	0.1	19
91	1784112289	safety	667592	23972	1.8	0.0	19
122	1784112320	workbench	667581	118372	31.4	0.1	19
122	1784112320	rviz	667863	198884	42.5	0.3	50
122	1784112320	sim	667881	68312	45.1	0.1	19
122	1784112320	rtabmap	667579	314768	29.4	0.4	20
122	1784112320	map_products	667573	210440	37.4	0.3	19
122	1784112320	mapping_manager	667575	64800	30.3	0.1	19
122	1784112320	safety	667592	23972	1.8	0.0	19
152	1784112350	workbench	667581	119164	31.8	0.1	19
152	1784112350	rviz	667863	200204	43.0	0.3	50
152	1784112350	sim	667881	68500	44.9	0.1	19
152	1784112350	rtabmap	667579	322740	29.7	0.5	20
152	1784112350	map_products	667573	226280	37.9	0.3	19
152	1784112350	mapping_manager	667575	64800	30.3	0.1	19
152	1784112350	safety	667592	23972	1.7	0.0	19
183	1784112381	workbench	667581	119428	32.6	0.1	19
183	1784112381	rviz	667863	200468	43.9	0.3	50
183	1784112381	sim	667881	68500	44.8	0.1	19
183	1784112381	rtabmap	667579	331700	29.8	0.5	20
183	1784112381	map_products	667573	241592	38.1	0.3	19
183	1784112381	mapping_manager	667575	64800	30.2	0.1	19
183	1784112381	safety	667592	23972	1.7	0.0	19
213	1784112411	workbench	667581	121332	33.1	0.1	19
213	1784112411	rviz	667863	202792	44.8	0.3	50
213	1784112411	sim	667881	68500	44.7	0.1	19
213	1784112411	rtabmap	667579	341064	29.9	0.5	20
213	1784112411	map_products	667573	256112	38.5	0.3	19
213	1784112411	mapping_manager	667575	64800	30.2	0.1	19
213	1784112411	safety	667592	23972	1.7	0.0	19
244	1784112442	workbench	667581	121860	33.8	0.1	19
244	1784112442	rviz	667863	203584	45.8	0.3	50
244	1784112442	sim	667881	68520	44.7	0.1	19
244	1784112442	rtabmap	667579	352524	30.0	0.5	20
244	1784112442	map_products	667573	270104	38.8	0.4	19
244	1784112442	mapping_manager	667575	64800	30.1	0.1	19
244	1784112442	safety	667592	23972	1.6	0.0	19
274	1784112472	workbench	667581	122124	34.4	0.1	19
274	1784112472	rviz	667863	203848	46.4	0.3	50
274	1784112472	sim	667881	68520	44.5	0.1	19
274	1784112472	rtabmap	667579	357832	30.0	0.5	20
274	1784112472	map_products	667573	294188	39.2	0.4	19
274	1784112472	mapping_manager	667575	64800	30.0	0.1	19
274	1784112472	safety	667592	23972	1.6	0.0	19
305	1784112503	workbench	667581	123444	35.0	0.1	19
305	1784112503	rviz	667863	204376	47.0	0.3	50
305	1784112503	sim	667881	68520	44.5	0.1	19
305	1784112503	rtabmap	667579	367804	30.2	0.5	20
305	1784112503	map_products	667573	307124	39.5	0.4	19
305	1784112503	mapping_manager	667575	64800	29.9	0.1	19
305	1784112503	safety	667592	23972	1.6	0.0	19
335	1784112533	workbench	667581	125820	35.4	0.1	19
335	1784112533	rviz	667863	205168	47.3	0.3	50
335	1784112533	sim	667881	68520	44.3	0.1	19
335	1784112533	rtabmap	667579	374860	30.4	0.5	20
335	1784112533	map_products	667573	320852	39.8	0.4	19
335	1784112533	mapping_manager	667575	64800	29.9	0.1	19
335	1784112533	safety	667592	23972	1.6	0.0	19
365	1784112563	workbench	667581	126812	35.9	0.1	19
365	1784112563	rviz	667863	205332	47.8	0.3	50
365	1784112563	sim	667881	68456	44.3	0.1	19
365	1784112563	rtabmap	667579	380240	30.7	0.5	20
365	1784112563	map_products	667573	331348	40.1	0.5	19
365	1784112563	mapping_manager	667575	64736	29.8	0.1	19
365	1784112563	safety	667592	23908	1.6	0.0	19
396	1784112594	workbench	667581	128924	36.3	0.2	19
396	1784112594	rviz	667863	205332	48.0	0.3	50
396	1784112594	sim	667881	68376	44.2	0.1	19
396	1784112594	rtabmap	667579	384804	30.8	0.5	20
396	1784112594	map_products	667573	339532	40.3	0.5	19
396	1784112594	mapping_manager	667575	64736	29.7	0.1	19
396	1784112594	safety	667592	23908	1.6	0.0	19
426	1784112624	workbench	667581	130508	36.9	0.2	19
426	1784112624	rviz	667863	206384	48.3	0.3	50
426	1784112624	sim	667881	68248	44.1	0.1	19
426	1784112624	rtabmap	667579	390908	30.8	0.6	20
426	1784112624	map_products	667573	346660	40.6	0.5	19
426	1784112624	mapping_manager	667575	64736	29.6	0.1	19
426	1784112624	safety	667592	23908	1.6	0.0	19
457	1784112655	workbench	667581	130772	37.3	0.2	19
457	1784112655	rviz	667863	206384	48.4	0.3	50
457	1784112655	sim	667881	68248	43.9	0.1	19
457	1784112655	rtabmap	667579	393348	30.8	0.6	20
457	1784112655	map_products	667573	353260	40.8	0.5	19
457	1784112655	mapping_manager	667575	64736	29.5	0.1	19
457	1784112655	safety	667592	23908	1.6	0.0	19
487	1784112685	workbench	667581	132356	37.7	0.2	19
487	1784112685	rviz	667863	206384	48.5	0.3	50
487	1784112685	sim	667881	68508	43.7	0.1	19
487	1784112685	rtabmap	667579	396208	30.8	0.6	20
487	1784112685	map_products	667573	358276	41.1	0.5	19
487	1784112685	mapping_manager	667575	64736	29.4	0.1	19
487	1784112685	safety	667592	23908	1.6	0.0	19
518	1784112716	workbench	667581	132620	38.2	0.2	19
518	1784112716	rviz	667863	207176	48.7	0.3	50
518	1784112716	sim	667881	68312	43.6	0.1	19
518	1784112716	rtabmap	667579	402208	30.8	0.6	20
518	1784112716	map_products	667573	363028	41.3	0.5	19
518	1784112716	mapping_manager	667575	64988	29.3	0.1	19
518	1784112716	safety	667592	23908	1.6	0.0	19
548	1784112746	workbench	667581	132620	38.6	0.2	19
548	1784112746	rviz	667863	207176	48.9	0.3	50
548	1784112746	sim	667881	68456	43.5	0.1	19
548	1784112746	rtabmap	667579	401164	30.7	0.6	20
548	1784112746	map_products	667573	364144	41.4	0.5	19
548	1784112746	mapping_manager	667575	64988	29.2	0.1	19
548	1784112746	safety	667592	23908	1.6	0.0	19
579	1784112777	workbench	667581	133412	39.1	0.2	19
579	1784112777	rviz	667863	207440	49.1	0.3	50
579	1784112777	sim	667881	68436	43.5	0.1	19
579	1784112777	rtabmap	667579	403240	30.6	0.6	20
579	1784112777	map_products	667573	365464	41.4	0.5	19
579	1784112777	mapping_manager	667575	65296	29.1	0.1	19
579	1784112777	safety	667592	23908	1.6	0.0	19
609	1784112807	workbench	667581	133412	39.6	0.2	19
609	1784112807	rviz	667863	208496	49.0	0.3	50
609	1784112807	sim	667881	68492	43.3	0.1	19
609	1784112807	rtabmap	667579	403136	30.5	0.6	20
609	1784112807	map_products	667573	365992	41.5	0.5	19
609	1784112807	mapping_manager	667575	65540	29.0	0.1	19
609	1784112807	safety	667592	23908	1.6	0.0	19
640	1784112838	workbench	667581	133676	40.1	0.2	19
640	1784112838	rviz	667863	208496	49.0	0.3	50
640	1784112838	sim	667881	68432	43.3	0.1	19
640	1784112838	rtabmap	667579	401604	30.4	0.6	20
640	1784112838	map_products	667573	366520	41.6	0.5	19
640	1784112838	mapping_manager	667575	65540	29.0	0.1	19
640	1784112838	safety	667592	23908	1.6	0.0	19
670	1784112868	workbench	667581	134404	40.5	0.2	19
670	1784112868	rviz	667863	208760	48.8	0.3	50
670	1784112868	sim	667881	68552	43.2	0.1	19
670	1784112868	rtabmap	667579	405836	30.6	0.6	20
670	1784112868	map_products	667573	366984	41.7	0.5	19
670	1784112868	mapping_manager	667575	65476	28.9	0.1	19
670	1784112868	safety	667592	23844	1.6	0.0	19
700	1784112898	workbench	667581	135724	41.0	0.2	19
700	1784112898	rviz	667863	209552	48.5	0.3	50
700	1784112898	sim	667881	68492	43.1	0.1	19
700	1784112898	rtabmap	667579	406404	31.0	0.6	20
700	1784112898	map_products	667573	367776	41.8	0.5	19
700	1784112898	mapping_manager	667575	65476	28.9	0.1	19
700	1784112898	safety	667592	23844	1.6	0.0	19
731	1784112929	workbench	667581	135724	41.4	0.2	19
731	1784112929	rviz	667863	210872	48.2	0.3	50
731	1784112929	sim	667881	68596	43.0	0.1	19
731	1784112929	rtabmap	667579	408144	31.2	0.6	20
731	1784112929	map_products	667573	368304	41.9	0.5	19
731	1784112929	mapping_manager	667575	65476	28.8	0.1	19
731	1784112929	safety	667592	23844	1.6	0.0	19
761	1784112959	workbench	667581	135988	41.9	0.2	19
761	1784112959	rviz	667863	210872	47.9	0.3	50
761	1784112959	sim	667881	68364	43.0	0.1	19
761	1784112959	rtabmap	667579	408900	31.3	0.6	20
761	1784112959	map_products	667573	369360	42.1	0.5	19
761	1784112959	mapping_manager	667575	65476	28.8	0.1	19
761	1784112959	safety	667592	23844	1.6	0.0	19
792	1784112990	workbench	667581	136516	42.4	0.2	19
792	1784112990	rviz	667863	210872	47.6	0.3	50
792	1784112990	sim	667881	68596	42.9	0.1	19
792	1784112990	rtabmap	667579	414592	31.3	0.6	20
792	1784112990	map_products	667573	369888	42.2	0.5	19
792	1784112990	mapping_manager	667575	65476	28.7	0.1	19
792	1784112990	safety	667592	23844	1.6	0.0	19
822	1784113020	workbench	667581	136516	42.8	0.2	19
822	1784113020	rviz	667863	210872	47.4	0.3	50
822	1784113020	sim	667881	68584	42.8	0.1	19
822	1784113020	rtabmap	667579	415372	31.3	0.6	20
822	1784113020	map_products	667573	370680	42.4	0.5	19
822	1784113020	mapping_manager	667575	65736	28.7	0.1	19
822	1784113020	safety	667592	23844	1.5	0.0	19
853	1784113051	workbench	667581	136516	43.3	0.2	19
853	1784113051	rviz	667863	210872	47.2	0.3	50
853	1784113051	sim	667881	68568	42.8	0.1	19
853	1784113051	rtabmap	667579	416920	31.2	0.6	20
853	1784113051	map_products	667573	371208	42.5	0.5	19
853	1784113051	mapping_manager	667575	65736	28.6	0.1	19
853	1784113051	safety	667592	23844	1.5	0.0	19
883	1784113081	workbench	667581	136516	43.7	0.2	19
883	1784113081	rviz	667863	210872	46.9	0.3	50
883	1784113081	sim	667881	68552	42.7	0.1	19
883	1784113081	rtabmap	667579	418372	31.1	0.6	20
883	1784113081	map_products	667573	371736	42.7	0.5	19
883	1784113081	mapping_manager	667575	65736	28.6	0.1	19
883	1784113081	safety	667592	23844	1.5	0.0	19
914	1784113112	workbench	667581	136780	44.1	0.2	19
914	1784113112	rviz	667863	211136	46.7	0.3	50
914	1784113112	sim	667881	68604	42.7	0.1	19
914	1784113112	rtabmap	667579	417112	31.3	0.6	20
914	1784113112	map_products	667573	372264	42.9	0.5	19
